#-- Vin / Car Make / Car Model / Mileage / Price per Day / Year of Manufacture --#
C1111111111111111,Ford,Mustang,137630,76.32,1983
C2222222222222222,Holden,VS Commodore,84934,104.84,1996
C3333333333333333,Dodge,Grand Caravan,77654,248.16,1998
C4444444444444444,Land Rover,Freelander,55750,189.04,2001
C5555555555555555,Dodge,Neon,97204,77.55,1998
WBANU5C50AB027071,Chevrolet,Silverado 2500,107540,131.84,2007
1FTWX3B5XAE118462,Suzuki,Swift,142897,182.45,1991
2C4RDGDG3CR063437,Dodge,Ram 2500 Club,131822,142.01,1997
3N1CN7AP7EK339506,Suzuki,Forenza,105945,248.13,2008
WBAVM1C53DV226448,Pontiac,Sunbird,130568,379.52,1985
JH4DC53894S957260,Cadillac,Escalade EXT,72801,94.53,2002
JN1AJ0HP4BM367470,Land Rover,Range Rover,104013,362.7,1995
SCBCU7ZAXBC802839,Suzuki,Vitara,93572,53.02,1999
1GKS1AKCXFR699939,Mazda,Navajo,101602,40.75,1992
WAUUL78E68A534737,Lexus,GS,143796,166.12,2006
1N6AA0CC0FN610965,Mercury,Mountaineer,144346,250.31,2010
SAJWA1CB8CL392515,Smart,Fortwo,86510,245.42,2010
4F2CY0C79BK964408,Hyundai,Azera,72229,398.19,2009
3N1AB7AP8FY221950,Ford,F350,120922,89.51,2003
1GYEE637990002954,Toyota,Prius,93058,387.7,2011
1G6DK1E39C0583065,Mercury,Tracer,71764,79.46,1998
WBANV1C55AB264208,Chevrolet,Astro,63360,323.17,1998
2C3CDXHG9CH404415,Ford,Crown Victoria,103881,160.16,2008
2FMHK6CC8AB354668,Lincoln,Mark VIII,114296,49.81,1993
1VWAP7A35EC075605,Hummer,H2,145231,162.23,2006
